dimension,smoothness,bandwidth,decay_true,lag,exact_pseudo_decay,exact_decay_shift,leading_decay_shift,transition_pseudo_decay,transition_decay_shift,exact_to_leading_ratio,exact_to_transition_ratio,leading_relative_error,transition_relative_error,exact_variance_factor,transition_variance_factor,transition_variance_loss_relative_error,quadrature_order
2,1.25,0.02,1.0,1.0,0.999582722578754,0.000417277421246,0.0004789669599063,0.9995827636196866,0.0004172363803134,0.8712029350160398,1.0000983637443637,0.1478381899408876,9.8354069888993e-05,0.99971639899815,0.9997164269432406,9.85366422601023e-05,96
2,1.25,0.05,1.0,1.0,0.9976126215259526,0.0023873784740473,0.0029935434994144,0.9976141311855532,0.0023858688144469,0.7975091975494405,1.0006327504644426,0.2539040340509758,0.0006323503444684,0.9983589410142634,0.9983599753401182,0.0006302795108791,96
2,1.275,0.01,1.0,1.0,0.9998988428154304,0.0001011571845696,0.000109059942466,0.9998988453877234,0.0001011546122765,0.9275374833527976,1.0000254293203972,0.0781235453528734,2.5428673763289333e-05,0.9999318542692096,0.9999318559811008,2.5121031845812068e-05,96
2,1.275,0.02,1.0,1.0,0.9996099618886788,0.0003900381113211,0.0004362397698643,0.999610002043018,0.000389997956982,0.8940911358044373,1.0001029603831433,0.1184542156323624,0.0001029497833942,0.9997359052133772,0.9997359320145724,0.0001014832424593,96
2,1.275,0.05,1.0,1.0,0.9977483052433308,0.0022516947566693,0.0027264985616523,0.997749795408568,0.0022502045914321,0.8258558388179524,1.0006622354442256,0.210865084433259,0.000661797178677,0.9984585004948971,0.9984594999850264,0.0006483882258923,96
2,1.2999999999999998,0.01,1.0,1.0,0.9999056572483686,9.434275163144878e-05,0.0001001176225329,0.9999056597686276,9.434023137233628e-05,0.9423191366773244,1.0000267145742157,0.0612116013329219,2.671386056620972e-05,0.9999366262817716,0.9999366279255189,2.593736131212676e-05,96
2,1.2999999999999998,0.02,1.0,1.0,0.9996344697995828,0.000365530200417,0.0004004704901318,0.9996345093137138,0.0003654906862862,0.9127518991392428,1.000108112552081,0.0955879696805179,0.0001081008650205,0.9997532821743674,0.9997533080051544,0.0001046976925912,96
2,1.2999999999999998,0.05,1.0,1.0,0.9978725563491284,0.0021274436508715,0.002502940563324,0.997874034141698,0.002125965858302,0.8499776950540833,1.000695115852292,0.1765014609428908,0.0006946330018809,0.9985486971098388,0.9985496667828112,0.000668139627535,96
2,1.325,0.01,1.0,1.0,0.999911741239764,8.825876023610402e-05,9.25148187106058e-05,0.9999117437244952,8.825627550490545e-05,0.9539959269896524,1.000028153592301,0.0482225046342852,2.815279969856778e-05,0.999940848835346,0.9999408504221812,2.6826775195721837e-05,96
2,1.325,0.02,1.0,1.0,0.9996565891379608,0.0003434108620391,0.0003700592748424,0.9996566282382996,0.0003433717617004,0.9279887990522064,1.0001138717364262,0.0775992135048845,0.0001138587711302,0.9997688153802432,0.9997688403952708,0.0001082036833123,96
2,1.325,0.05,1.0,1.0,0.9979865712422265,0.0020134287577736,0.0023128704677651,0.9979880434299488,0.0020119565700512,0.8705324339755067,1.0007317194338634,0.1487222772771909,0.0007311844120193,0.998630600499098,0.9986315449598748,0.0006896897335636,96
2,1.35,0.01,1.0,1.0,0.999917194730877,8.280526912296526e-05,8.596582290476478e-05,0.9999171971951512,8.280280484884717e-05,0.9632347638281684,1.000029760756566,0.0381685104737249,2.9759870889828027e-05,0.9999446012282094,0.9999446027680712,2.7795953463174903e-05,96
2,1.35,0.02,1.0,1.0,0.999676614154998,0.0003233858450019,0.000343863291619,0.9996766530524948,0.0003233469475052,0.9404488728042728,1.0001202964709213,0.0633220251709748,0.000120282001421,0.9997827473389548,0.9997827716775336,0.0001120289100346,96
2,1.35,0.05,1.0,1.0,0.9980914050483374,0.0019085949516626,0.0021491455726191,0.9980928781471228,0.0019071218528771,0.8880715089656107,1.000772419855232,0.1260354486146718,0.0007718236832944,0.9987051437886244,0.9987060673050038,0.0007132192527381,96
2,1.375,0.01,1.0,1.0,0.9999221020679516,7.789793204848738e-05,8.02610952350514e-05,0.9999221045257486,7.789547425141041e-05,0.970556554459626,1.000031552501613,0.0303366613775198,3.1551506084158904e-05,0.9999479497558328,0.9999479512576293,2.8852820538508048e-05,96
2,1.375,0.02,1.0,1.0,0.9996947979384728,0.0003052020615271,0.0003210443809402,0.9996948368327352,0.0003051631672646,0.9506538025470704,1.000127453987406,0.0519076422149862,0.0001274377449574,0.9997952845410032,0.99979530833015,0.0001162059132768,96
